Arcs	Chords			Sixtieths			
Degrees	Units	Minutes	Seconds	column 5	column6	column7	column8
23 23 55 27
23.5 24 56 13
24 24 56 58
24.5 25 57 21
25 25 58 22
25.5 26 59 1
26 26 59 38
26.5 27 30 14
27 28 0 48
27.5 28 31 20
28 29 1 50
28.5 29 32 18
29 30 2 44
29.5 30 33 
30 31 3 8
30.5 31 33 30
31 32 4 50
31.5 32 34 8
32 33 4 3
32.5 33 34 46
33 34 4 55
33.5 34 35 1
34 35 5 5
34.5 35 35 
35 36 5
35.5 36 34
36 37 4
36.5 37 34
37 38 4
37.5 38 34
38 39 4
38.5 39 33
39 40 3
39.5 40 33
40 41 2
40.5 41 32
41 42 1
41.5 42 30
42 43 0
42.5 43 28
43 43 58
43.5 44 28
44 44 57
44.5 45 26
45 45 55
